question,N,time_h,maximum_after_1s,mass_error
3,100,57.47529742450339,0.14999970873145058,8.881784197001252e-15
3,200,57.474316037541016,0.14999970872637255,5.773159728050814e-15
3,400,57.47407696309135,0.14999970872513146,5.329070518200751e-15
4,100,51.09331572208037,0.14999948653076728,6.217248937900877e-15
4,200,51.092321206768595,0.14999948652148562,8.43769498715119e-15
4,400,51.09207434744365,0.14999948651920228,9.325873406851315e-15
