距中截面_cm,r_0cm,r_0.5cm,r_1cm,r_1.5cm,r_2cm
0.0,0.15000000000000002,0.1476850882338453,0.14020663577408324,0.12490871455150154,0.0526483222683575
2.5,0.14999098570439484,0.14767639988381487,0.14019892768274864,0.12490270891559847,0.05264768507081158
5.0,0.1499146529337867,0.14760267158173312,0.14013309613673927,0.12485085694823432,0.0526421126253713
7.5,0.14943040015505313,0.1471350216604037,0.13971569885931903,0.12452217659752765,0.05260697178003108
10.0,0.1458865686693419,0.14372041687802,0.1366889279587437,0.12216593751370641,0.052368037130775716
12.0,0.12078429516726419,0.11940715479988033,0.11483914815061072,0.10488939143911338,0.05106676507069828
12.5,0.052468067725053316,0.05232862660530127,0.05190491976765284,0.051170214269615794,
